case_i_id,case_j_id,country_i,country_j,article_cohort,log_fine_i,log_fine_j,fine_eur_i,fine_eur_j,delta_log_fine,delta_fine_eur,distance,defendant_class_match,enterprise_size_match,year_diff
Ireland_7,France_21,IE,FR,32;33,11.457876253769117,8.23925397898068,94642.85714285714,3785.714285714286,3.218622274788437,90857.14285714286,1.9999999998666667,False,True,0
France_21,Ireland_7,FR,IE,32;33,8.23925397898068,11.457876253769117,3785.714285714286,94642.85714285714,3.218622274788437,90857.14285714286,1.9999999998666667,False,True,0
Denmark_139,Romania_3,DK,RO,32;33,9.620363577427398,8.05712988380164,15067.527519051651,3155.218408551069,1.563233693625758,11912.309110500582,2.523959264526311,False,False,1
Spain_415,Italy_207,ES,IT,37,11.052416428610046,8.537976937910123,63095.23809523809,5104.006163328197,2.514439490699923,57991.2319319099,2.6616418518513623,False,False,4
Spain_522,Italy_309,ES,IT,37,10.359285096729923,8.006700845440367,31547.61904761905,3000.0,2.3525842512895565,28547.61904761905,3.7619955394062075,False,False,5
Italy_207,Spain_415,IT,ES,37,8.537976937910123,11.052416428610046,5104.006163328197,63095.23809523809,2.514439490699923,57991.2319319099,2.6616418518513623,False,False,4
Italy_309,Spain_522,IT,ES,37,8.006700845440367,10.359285096729923,3000.0,31547.61904761905,2.3525842512895565,28547.61904761905,3.7619955394062075,False,False,5
Italy_236,Croatia_41,IT,HR,37;38,8.720265846479563,9.413331401814578,6124.807395993836,12249.614791987671,0.6930655553350142,6124.807395993836,2.8284271243690666,False,False,0
Croatia_41,Italy_236,HR,IT,37;38,9.413331401814578,8.720265846479563,12249.614791987671,6124.807395993836,0.6930655553350142,6124.807395993836,2.8284271243690666,False,False,0
Germany_10,Belgium_36,DE,BE,38,13.2862061615491,11.052416428610046,589013.547840813,63095.23809523809,2.2337897329390533,525918.3097455748,3.4641016147528543,True,False,2
Belgium_36,Germany_10,BE,DE,38,11.052416428610046,13.2862061615491,63095.23809523809,589013.547840813,2.2337897329390533,525918.3097455748,3.4641016147528543,True,False,2
Spain_412,Greece_51,ES,EL,5,7.728604393843048,9.81477135802743,2271.428571428572,18301.10497237569,2.0861669641843825,16029.676400947119,0.6261545739012035,True,True,1
Spain_416,Italy_55,ES,IT,5,8.749973964692726,10.10243977075494,6309.523809523809,24401.47329650092,1.352465806062213,18091.94948697711,0.6261545739012035,True,True,1
Spain_431,Italy_4,ES,IT,5,7.838692295454701,10.54637452362832,2535.885167464115,38038.27751196172,2.707682228173619,35502.39234449761,1.565736924020776,False,True,0
Spain_434,Ireland_30,ES,IE,5,8.23925397898068,10.934847032889447,3785.714285714286,56096.52836579171,2.695593053908768,52310.81408007743,1.6302907810160903,False,True,2
Spain_436,Italy_32,ES,IT,5,11.057189631892198,9.443041909388214,63397.12918660288,12619.047619047618,1.6141477225039846,50778.08156755526,0.6261545739012034,True,True,1
Spain_439,Germany_31,ES,DE,5,7.323359290450157,8.56530643082572,1514.2857142857142,5245.447347585115,1.2419471403755624,3731.1616332994004,1.8784637217036106,True,True,3
Spain_450,Latvia_9,ES,LV,5,9.443041909388214,14.11288377974821,12619.047619047618,1346316.680779001,4.6698418703599955,1333697.6331599534,1.5941882248387207,True,False,2
Spain_452,Greece_41,ES,GR,5,7.833920902748973,8.749973964692726,2523.809523809524,6309.523809523809,0.916053061943753,3785.7142857142853,1.8538616381901154,True,True,0
Spain_455,Germany_40,ES,DE,5,10.35690704979426,12.659463547061613,31472.68408551069,314726.8408551069,2.302556497267352,283254.1567695962,0.0,True,True,0
Spain_464,Denmark_144,ES,DK,5,9.443041909388214,11.922888941501206,12619.047619047618,150675.27519051652,2.4798470321129926,138056.22757146892,1.5941882248387207,True,False,2
Spain_465,Denmark_141,ES,DK,5,11.0187059146552,14.225468061407009,61003.68324125231,1506752.7519051654,3.2067621467518084,1445749.068663913,1.1684294779584423,True,False,1
Spain_484,Greece_71,ES,GR,5,7.512677890880714,6.956630648585314,1830.1104972375688,1049.089469517023,0.5560472422954001,781.0210277205458,2.00494646235545,False,True,2
Spain_492,Denmark_1,ES,DK,5,8.932269110229447,11.949580327108997,7571.428571428572,154751.18764845605,3.01731121687955,147179.75907702747,1.8784637217036106,True,True,3
Spain_505,Cyprus_8,ES,DE,5,7.512677890880714,16.537581889199085,1830.1104972375688,15211797.307996834,9.024903998318372,15209967.197499596,1.5941882248387207,True,False,2
Spain_508,Germany_30,ES,DE,5,8.937041760134145,17.610845381557652,7607.655502392345,44493130.26190476,8.673803621423508,44485522.60640237,1.1684294779584423,True,False,1
Spain_518,Italy_168,ES,IT,5,11.627985300361011,10.6609461463504,112193.05673158342,42655.97783056215,0.967039154010612,69537.07890102128,1.1684294779584425,True,False,1
Spain_520,Italy_184,ES,IT,5,11.1293762957599,9.258358304257996,68142.85714285714,10490.89469517023,1.8710179915019047,57651.962447686914,1.8784637217036106,True,True,3
Spain_527,Italy_260,ES,IT,5,8.749973964692726,9.231026170598632,6309.523809523809,10208.012326656391,0.4810522059059057,3898.4885171325823,3.116073776442288,True,True,4
Spain_543,Greece_39,ES,GR,5,8.205551975809472,8.517393171418904,3660.2209944751385,5000.0,0.311841195609432,1339.7790055248615,3.6170325182262677,False,True,4
Ireland_30,Spain_465,IE,ES,5,10.934847032889447,11.0187059146552,56096.52836579171,61003.68324125231,0.08385888176575307,4907.154875460597,0.6261545739012035,True,True,1
Greece_39,Spain_626,GR,ES,5,8.517393171418904,8.027281896384167,5000.0,3062.403697996918,0.49011127503473695,1937.5963020030822,2.134735015369794,False,False,1
Greece_41,Spain_452,GR,ES,5,8.749973964692726,7.833920902748973,6309.523809523809,2523.809523809524,0.916053061943753,3785.7142857142853,1.8538616381901154,True,True,0
Greece_51,Spain_505,EL,ES,5,9.81477135802743,7.512677890880714,18301.10497237569,1830.1104972375688,2.302093467146716,16470.994475138123,0.0,True,True,0
