article_component_key,member_article_sets,case_count,article_count_median,article_family_keys,log_fine_mean,measure_jaccard_mean,sanction_profile_mode
5;25;28;32;33;34,5;25;28;32;33;34,2,6.0,24-26;28-29;32-34;5,9.43374239894144,0.14285714285714285,Reprimand
5;33,5;33,2,2.0,32-34;5,11.169916378759112,0.0,NoFormalMeasure
5;6;15,5;6;15,2,3.0,12-15;5;6,0.0,1.0,NoFormalMeasure
7,7,2,1.0,7,7.564153721119955,1.0,ComplianceOrder
7;13,7;13,2,2.0,12-15;7,8.366211002382986,0.125,ComplianceOrder
6;7;12;13;14,6;7;12;13;14;6;7;13;14,2,4.5,12-15;6;7,0.0,0.0,NoFormalMeasure
5;35,5;35,2,2.0,35;5,0.0,1.0,ComplianceOrder
5;32;33,5;32;33,2,3.0,32-34;5,11.855006080668932,0.2857142857142857,ComplianceOrder
5;12;15,5;12;15,2,3.0,12-15;5,4.593105253085335,0.2857142857142857,ComplianceOrder
38,38,2,1.0,37-44,6.64310308077455,0.125,ComplianceOrder
28;32,28;32,2,2.0,28-29;32-34,14.08899345196953,0.875,Reprimand
5;13;32,5;13;32,2,3.0,12-15;32-34;5,6.330920830959717,1.0,ComplianceOrder
5;13;28;32,5;13;17;28;32;5;13;28;32,2,4.5,12-15;16-18;28-29;32-34;5;12-15;28-29;32-34;5,11.713844096080463,1.0,NoFormalMeasure
5;15,5;15,2,2.0,12-15;5,4.975728913923799,0.375,ComplianceOrder
5;24;25;32,5;24;25;32,2,4.0,24-26;32-34;5,5.077975660036778,0.125,ComplianceOrder
5;25;32,5;25;32,2,3.0,24-26;32-34;5,5.671351963490936,0.0,ComplianceOrder
9,9,2,1.0,9,0.0,0.6666666666666666,ErasureOrRestrictionOrder
12;13;15;21;32,12;13;15;21;32,1,5.0,12-15;21-22;32-34,13.41973734195473,,NoFormalMeasure
12;14;15;21,12;14;15;21,1,4.0,12-15;21-22,13.930562371507593,,NoFormalMeasure
12;15;17;32;33,12;15;17;32;33,1,5.0,12-15;16-18;32-34,12.726591646926067,,ComplianceOrder
12;13,12;13,1,2.0,12-15,13.910603223740791,,NoFormalMeasure
12;15;18;25,12;15;18;25,1,4.0,12-15;16-18;24-26,11.18344274467003,,NoFormalMeasure
12;15;21;25;32,12;15;21;25;32,1,5.0,12-15;21-22;24-26;32-34,12.81045172363652,,NoFormalMeasure
12;17;21;25,12;17;21;25,1,4.0,12-15;16-18;21-22;24-26,10.102439770754941,,NoFormalMeasure
12;17;37,12;17;37,1,3.0,12-15;16-18;37-44,0.0,,ErasureOrRestrictionOrder
12;15;25,12;15;25,1,3.0,12-15;24-26,12.301387370778713,,Reprimand
12;17;21,12;17;21,1,3.0,12-15;16-18;21-22,8.632422361902975,,NoFormalMeasure
15;22,15;22,1,2.0,12-15;21-22,12.659463547061613,,NoFormalMeasure
15;21;25,15;21;25,1,3.0,12-15;21-22;24-26,0.0,,NoFormalMeasure
15;17,15;17,1,2.0,12-15;16-18,0.0,,ComplianceOrder
14;28,14;28,1,2.0,12-15;28-29,13.098133113071066,,NoFormalMeasure
13;46,13;46,1,2.0,12-15;46,20.088387566397234,,Suspension
14;15,14;15,1,2.0,12-15,8.121715552663925,,NoFormalMeasure
13;37,13;37,1,2.0,12-15;37-44,0.0,,Reprimand
13;32;33;37,13;32;33;37,1,4.0,12-15;32-34;37-44,11.424165558687063,,NoFormalMeasure
13;14,13;14,1,2.0,12-15,10.507891218952246,,NoFormalMeasure
13;28;30;35,13;28;30;35,1,4.0,12-15;28-29;30-31;35,14.148217028770885,,NoFormalMeasure
13;25,13;25,1,2.0,12-15;24-26,0.0,,ErasureOrRestrictionOrder
13;14;35,13;14;35,1,3.0,12-15;35,11.938984945030965,,ComplianceOrder
25;33,25;33,1,2.0,24-26;32-34,19.361551342155224,,Reprimand
25;32;34,25;32;34,1,3.0,24-26;32-34,11.18344274467003,,NoFormalMeasure
27,27,1,1.0,27,0.0,,ComplianceOrder
33;34,33;34,1,2.0,32-34,0.0,,Reprimand
58;83,58;83,1,2.0,58;83,13.042454788342718,,ErasureOrRestrictionOrder
4;5;7;12;13;24;25,4;5;7;12;13;24;25,1,7.0,12-15;24-26;4;5;7,0.0,,Reprimand
44,44,1,1.0,37-44,0.0,,ComplianceOrder
30,30,1,1.0,30-31,0.0,,Warning
31;37,31;37,1,2.0,30-31;37-44,8.56530643082572,,ComplianceOrder
31,31,1,1.0,30-31,10.714439990727769,,NoFormalMeasure
32;33;34,32;33;34,1,3.0,32-34,0.0,,ComplianceOrder
28;29;32,28;29;32,1,3.0,28-29;32-34,14.336027182509058,,NoFormalMeasure
2;13;22,2;13;22,1,3.0,12-15;2;21-22,9.102359151773072,,ComplianceOrder
29;35,29;35,1,2.0,28-29;35,0.0,,NoFormalMeasure
28;44,28;44,1,2.0,28-29;37-44,0.0,,NoFormalMeasure
28;32;34,28;32;34,1,3.0,28-29;32-34,12.299627921247541,,NoFormalMeasure
17;21;25,17;21;25,1,3.0,16-18;21-22;24-26,8.716268340436823,,NoFormalMeasure
25;32,25;32,1,2.0,24-26;32-34,0.0,,Reprimand
16;17;30;31,16;17;30;31,1,4.0,16-18;30-31,8.205551975809472,,ComplianceOrder
16,16,1,1.0,16-18,0.0,,ComplianceOrder
5;25;32;33,5;25;32;33,1,4.0,24-26;32-34;5,0.0,,ComplianceOrder
5;25;35,5;25;35,1,3.0,24-26;35;5,10.86771996444934,,ComplianceOrder
5;25;26;27;32,5;25;26;27;32,1,5.0,24-26;27;32-34;5,0.0,,ComplianceOrder
5;15;58,5;15;58,1,3.0,12-15;5;58,9.219918167628718,,NoFormalMeasure
5;17,5;17,1,2.0,16-18;5,0.0,,Reprimand
5;17;25;32,5;17;25;32,1,4.0,16-18;24-26;32-34;5,8.978594781651767,,ComplianceOrder
5;17;32,5;17;32,1,3.0,16-18;32-34;5,11.606485294115615,,NoFormalMeasure
5;24,5;24,1,2.0,24-26;5,16.76377487667408,,NoFormalMeasure
5;16,5;16,1,2.0,16-18;5,0.0,,Warning
5;12;25;30;31;32;37,5;12;25;30;31;32;37,1,7.0,12-15;24-26;30-31;32-34;37-44;5,10.840385717827472,,NoFormalMeasure
5;12;25;28;30;32;33;34;35,5;12;25;28;30;32;33;34;35,1,9.0,12-15;24-26;28-29;30-31;32-34;35;5,0.0,,NoFormalMeasure
5;13;14,5;13;14,1,3.0,12-15;5,14.574038052181825,,NoFormalMeasure
5;13;21,5;13;21,1,3.0,12-15;21-22;5,7.71639894286531,,NoFormalMeasure
5;13;14;25;28;32;35,5;13;14;25;28;32;35,1,7.0,12-15;24-26;28-29;32-34;35;5,15.806181401722535,,ErasureOrRestrictionOrder
5;13;25;32;35,5;13;25;32;35,1,5.0,12-15;24-26;32-34;35;5,13.707419043023348,,NoFormalMeasure
5;13;28;35,5;13;28;35,1,4.0,12-15;28-29;35;5,0.0,,ComplianceOrder
5;12;16;17,5;12;16;17,1,4.0,12-15;16-18;5,8.943376748503317,,NoFormalMeasure
5;12;13;15;32;34,5;12;13;15;32;34,1,6.0,12-15;32-34;5,10.136149469661435,,ErasureOrRestrictionOrder
5;12;13;15;24;31,5;12;13;15;24;31,1,6.0,12-15;24-26;30-31;5,9.210440366976517,,NoFormalMeasure
5;12;17,5;12;17,1,3.0,12-15;16-18;5,0.0,,NoFormalMeasure
5;12;31,5;12;31,1,3.0,12-15;30-31;5,7.270362381141019,,ComplianceOrder
5;66,5;66,1,2.0,5;66,13.612956072333903,,NoFormalMeasure
5;6;14;34,5;6;14;34,1,4.0,12-15;32-34;5;6,13.191743248676195,,NoFormalMeasure
5;6;14;15;17;21,5;6;14;15;17;21,1,6.0,12-15;16-18;21-22;5;6,10.22147368712466,,ErasureOrRestrictionOrder
5;6;14,5;6;14,1,3.0,12-15;5;6,0.0,,ErasureOrRestrictionOrder
5;6;13;25;32;44;46,5;6;13;25;32;44;46,1,7.0,12-15;24-26;32-34;37-44;46;5;6,0.0,,ErasureOrRestrictionOrder
5;6;13;21,5;6;13;21,1,4.0,12-15;21-22;5;6,9.258358304257996,,ComplianceOrder
5;6;12;13;16;17,5;6;12;13;16;17,1,6.0,12-15;16-18;5;6,7.677334260126032,,Reprimand
5;33;34,5;33;34,1,3.0,32-34;5,9.258358304257996,,Warning
5;6;10;12,5;6;10;12,1,4.0,10;12-15;5;6,0.0,,ComplianceOrder
5;6;12,5;6;12,1,3.0,12-15;5;6,10.018583039803788,,NoFormalMeasure
5;32;33;34,5;32;33;34,1,4.0,32-34;5,11.973470899719908,,ComplianceOrder
5;6;9;22,5;6;9;22,1,4.0,21-22;5;6;9,0.0,,Warning
5;6;7;12;15;24;28;31;58;130,5;6;7;12;15;24;28;31;58;130,1,10.0,12-15;130;24-26;28-29;30-31;5;58;6;7,11.51293546492023,,ErasureOrRestrictionOrder
5;6;7;21,5;6;7;21,1,4.0,21-22;5;6;7,10.102439770754941,,NoFormalMeasure
5;6;17,5;6;17,1,3.0,16-18;5;6,0.0,,Reprimand
5;6;24,5;6;24,1,3.0,24-26;5;6,0.0,,ErasureOrRestrictionOrder
5;6;28;29;32,5;6;28;29;32,1,5.0,28-29;32-34;5;6,0.0,,NoFormalMeasure
5;6;32;33,5;6;32;33,1,4.0,32-34;5;6,13.362559454069794,,ComplianceOrder
5;6;34,5;6;34,1,3.0,32-34;5;6,11.289794413577894,,NoFormalMeasure
6;12;15,6;12;15,1,3.0,12-15;6,0.0,,Warning
6;12;17,6;12;17,1,3.0,12-15;16-18;6,0.0,,Reprimand
6;12;25,6;12;25,1,3.0,12-15;24-26;6,0.0,,Reprimand
5;6;9;30;35,5;6;9;30;35,1,5.0,30-31;35;5;6;9,12.326320356693278,,NoFormalMeasure
5;8;9,5;8;9,1,3.0,5;8;9,0.0,,NoFormalMeasure
5;9;13;28,5;9;13;28,1,4.0,12-15;28-29;5;9,0.0,,Reprimand
6;12;13,6;12;13,1,3.0,12-15;6,17.964929153187416,,NoFormalMeasure
5;6;9;25,5;6;9;25,1,4.0,24-26;5;6;9,0.0,,Warning
6;30,6;30,1,2.0,30-31;6,11.273178717941477,,ComplianceOrder
6;21,6;21,1,2.0,21-22;6,0.0,,Warning
6;17;28,6;17;28,1,3.0,16-18;28-29;6,12.81045172363652,,NoFormalMeasure
6;14,6;14,1,2.0,12-15;6,10.86771996444934,,NoFormalMeasure
6;13;21,6;13;21,1,3.0,12-15;21-22;6,0.0,,ComplianceOrder
6;9,6;9,1,2.0,6;9,0.0,,NoFormalMeasure
6;7;12,6;7;12,1,3.0,12-15;6;7,8.656134711190196,,ComplianceOrder
6;32,6;32,1,2.0,32-34;6,12.033447437422064,,NoFormalMeasure
7;12;13;15;17;26,7;12;13;15;17;26,1,6.0,12-15;16-18;24-26;7,17.55231265197823,,NoFormalMeasure
7;12;13;14;15;28;32;33,7;12;13;14;15;28;32;33,1,8.0,12-15;28-29;32-34;7,13.352609138946098,,NoFormalMeasure
7;12;13;14;15;21;32,7;12;13;14;15;21;32,1,7.0,12-15;21-22;32-34;7,13.41973734195473,,NoFormalMeasure
7;22,7;22,1,2.0,21-22;7,9.219918167628718,,ComplianceOrder
82,82,1,1.0,82,18.5142314753279,,ComplianceOrder
8,8,1,1.0,8,8.76188086612573,,NoFormalMeasure
89;90;104,89;90;104,1,3.0,104;89-90,0.0,,ComplianceOrder
9;32,9;32,1,2.0,32-34;9,11.273178717941477,,NoFormalMeasure
